unnamed;company;typename;inches;screen_resolution;cpu;ram;memory;gpu;opsys;weight; price ;px_width;px_height;clock_speed;cpu_brand;gpu_brand;ssd_capacity;hdd_capacity;ssd_count;hdd_count;flash_storage;cpu_details;ips_panel;touch_screen;resolution;ppi_whole;resolution (1);name;aspect_ratio;quality_rank
10;HP;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;No OS;1.86; $20986.99. ;1366;768;2.5;Intel;Intel;0;512;0;1;0;Core i5 7200U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
11;HP;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;No OS;1.86; $18381.07. ;1920;1080;2.0;Intel;Intel;0;512;0;1;0;Core i3 6006U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
12;Apple;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16;256GB SSD;AMD Radeon Pro 555;Mac Os;1.83; $130001.6. ;2880;1800;2.8;Intel;AMD;256;0;1;1;0;Core i7;1;0;2880 x 1800;221;2880 x 1800;Retina Display (Common in MacBook Pros);16:10;Very High
13;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;AMD Radeon R5 M430;Windows;2.20; $26581.39. ;1920;1080;2.0;Intel;AMD;256;0;1;1;0;Core i3 6006U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
14;Apple;Ultrabook;12.0;IPS Panel Retina Display 2304x1440;Intel Core M m3 1.2GHz;8;256GB SSD;Intel HD Graphics 615;Mac Os;0.92; $67260.67. ;2304;1440;1.2;Intel;Intel;256;0;1;1;0;Core M m3;1;0;2304 x 1440;226;2304 x 1440;WQHD (Wide Quad HD);16:09;High
15;Apple;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;256GB SSD;Intel Iris Plus Graphics 640;Mac Os;1.37; $80908.34. ;2560;1600;2.3;Intel;Intel;256;0;1;1;0;Core i5;1;0;2560 x 1600;227;2560 x 1600;WQXGA (Wide Quad Extended Graphics Array);16:10;High
16;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R5 M430;Windows;2.20; $39693.6. ;1920;1080;2.7;Intel;AMD;256;0;1;1;0;Core i7 7500U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
17;Apple;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16;512GB SSD;AMD Radeon Pro 560;Mac Os;1.83; $152274.24. ;2880;1800;2.9;Intel;AMD;512;0;1;1;0;Core i7;1;0;2880 x 1800;221;2880 x 1800;Retina Display (Common in MacBook Pros);16:10;Very High
18;Lenovo;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 940MX;No OS;2.20; $26586.72. ;1920;1080;2.4;Intel;Nvidia;0;1024;0;1;0;Core i3 7100U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
19;Dell;Ultrabook;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD;Intel UHD Graphics 620;Windows;1.22; $52161.12. ;1920;1080;1.6;Intel;Intel;128;0;1;1;0;Core i5 8250U;1;1;1920 x 1080;166;1920 x 1080;Full HD (1080p);16:09;Mid
21;Lenovo;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows;2.50; $53226.72. ;1920;1080;2.5;Intel;Nvidia;128;1024;1;1;0;Core i5 7300HQ;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
22;HP;Notebook;15.6;1366x768;AMD E-Series E2-9000e 1.5GHz;4;500GB HDD;AMD Radeon R2;No OS;1.86; $13746.24. ;1366;768;1.5;AMD;AMD;0;512;0;1;0;E-Series E2-9000e;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
23;Dell;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows;1.62; $43636.32. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;0;1;1920 x 1080;166;1920 x 1080;Full HD (1080p);16:09;Mid
24;HP;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel HD Graphics 620;Windows;1.91; $35111.52. ;1920;1080;1.8;Intel;Intel;256;0;1;1;0;Core i7 8550U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
25;Dell;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 520;Windows;2.30; $22305.14. ;1366;768;2.0;Intel;Intel;0;1024;0;1;0;Core i3 6006U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
26;Apple;Ultrabook;13.3;1440x900;Intel Core i5 1.6GHz;8;128GB Flash Storage;Intel HD Graphics 6000;Mac Os;1.35; $58554.72. ;1440;900;1.6;Intel;Intel;128;0;1;1;0;Core i5;0;0;1440 x 900;128;1440 x 900;WXGA+;16:10;Lower-Mid
27;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;AMD Radeon 530;Windows;2.20; $42624.. ;1920;1080;1.6;Intel;AMD;256;0;1;1;0;Core i5 8250U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
28;Dell;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;8;256GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows;1.88; $69157.44. ;1920;1080;1.9;Intel;Intel;256;0;2;0;0;Core i7 8650U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
29;HP;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;Nvidia GeForce 930MX;Windows;2.50; $47738.88. ;1920;1080;1.6;Intel;Nvidia;0;1024;0;1;0;Core i5 8250U;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
30;Chuwi;Notebook;15.6;Full HD 1920x1080;Intel Atom x5-Z8300 1.44GHz;4;64GB Flash Storage;Intel HD Graphics;Windows;1.89; $13053.07. ;1920;1080;1.4;Intel;Intel;0;0;0;1;64;Atom x5-Z8300;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
31;Asus;Notebook;14.0;1366x768;AMD E-Series E2-6110 1.5GHz;2;32GB Flash Storage;AMD Radeon R2;Windows;1.65; $10602.72. ;1366;768;1.5;AMD;AMD;0;0;0;1;32;E-Series E2-6110;0;0;1366 x 768;112;1366 x 768;HD Ready;16:09;Lower
32;HP;Notebook;17.3;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;500GB HDD;AMD Radeon 530;Windows;2.71; $23389.92. ;1920;1080;2.5;AMD;AMD;0;512;0;1;0;A6-Series 9220;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
33;Dell;Ultrabook;13.3;Touchscreen / Quad HD+ 3200x1800;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows;1.20; $99580.32. ;3200;1800;1.8;Intel;Intel;512;0;1;1;0;Core i7 8550U;0;1;3200 x 1800;276;3200 x 1800;QHD+ (Quad HD Plus);16:09;High
34;Apple;Ultrabook;13.3;1440x900;Intel Core i5 1.6GHz;8;256GB Flash Storage;Intel HD Graphics 6000;Mac Os;1.35; $53173.44. ;1440;900;1.6;Intel;Intel;256;0;1;1;0;Core i5;0;0;1440 x 900;128;1440 x 900;WXGA+;16:10;Lower-Mid
35;Lenovo;Notebook;14.0;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;64GB Flash Storage;Intel HD Graphics 500;Windows;1.44; $13266.72. ;1366;768;1.1;Intel;Intel;0;0;0;1;64;Celeron Dual Core N3350;0;0;1366 x 768;112;1366 x 768;HD Ready;16:09;Lower
36;Acer;Notebook;15.6;1366x768;Intel Core i3 7130U 2.7GHz;4;1TB HDD;Intel HD Graphics 620;Linux;2.10; $19553.76. ;1366;768;2.7;Intel;Intel;0;1024;0;1;0;Core i3 7130U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
37;Dell;Notebook;17.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows;2.80; $52161.12. ;1920;1080;1.6;Intel;AMD;128;1024;1;1;0;Core i5 8250U;1;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
38;HP;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Intel HD Graphics 620;Windows;1.86; $26037.4. ;1366;768;2.5;Intel;Intel;0;1024;0;1;0;Core i5 7200U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
39;HP;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Nvidia GeForce 930MX ;Windows;2.10; $46833.12. ;1920;1080;1.6;Intel;Nvidia;256;0;1;1;0;Core i5 8250U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
40;Asus;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 620;Linux;2.00; $20725.92. ;1920;1080;2.0;Intel;Intel;0;1024;0;1;0;Core i3 6006U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
41;Dell;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows;2.65; $79866.72. ;1920;1080;2.8;Intel;Nvidia;256;1024;1;1;0;Core i7 7700HQ;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
42;Asus;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Nvidia GeForce 940MX;Linux;2.30; $27864.91. ;1366;768;2.5;Intel;Nvidia;0;1024;0;1;0;Core i5 7200U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
43;Acer;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256GB SSD;Intel UHD Graphics 620;Windows;2.20; $36336.96. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
44;Dell;2 in 1 Convertible;17.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;12;1TB HDD;Nvidia GeForce 150MX;Windows;2.77; $53226.72. ;1920;1080;1.6;Intel;Nvidia;0;1024;0;1;0;Core i5 8250U;0;1;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
45;Apple;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.0GHz;8;256GB SSD;Intel Iris Graphics 540;Mac Os;1.37; $75604.32. ;2560;1600;2.0;Intel;Intel;256;0;1;1;0;Core i5;1;0;2560 x 1600;227;2560 x 1600;WQXGA (Wide Quad Extended Graphics Array);16:10;High
47;Asus;Gaming;17.3;Full HD 1920x1080;AMD Ryzen 1700 3GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows;3.20; $69210.72. ;1920;1080;3.0;AMD;AMD;256;1024;1;1;0;Ryzen 1700;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
48;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;AMD Radeon R5 M430;Windows;2.30; $34045.92. ;1920;1080;2.5;Intel;AMD;256;0;1;1;0;Core i5 7200U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
49;Asus;Notebook;17.3;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;1TB HDD;Nvidia GeForce 920MX;Windows;2.80; $24828.48. ;1366;768;1.1;Intel;Nvidia;0;1024;0;1;0;Pentium Quad Core N4200;0;0;1366 x 768;91;1366 x 768;HD Ready;16:09;Lower
51;Acer;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Nvidia GeForce MX150;Windows;2.20; $44808.48. ;1920;1080;1.8;Intel;Nvidia;256;0;1;1;0;Core i7 8550U;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
52;HP;Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;256GB SSD;AMD Radeon R4 Graphics;Windows;1.86; $21231.55. ;1920;1080;2.5;AMD;AMD;256;0;1;1;0;A6-Series 9220;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
53;HP;Notebook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows;1.49; $58767.84. ;1920;1080;1.8;Intel;Intel;512;0;1;1;0;Core i7 8550U;0;0;1920 x 1080;166;1920 x 1080;Full HD (1080p);16:09;Mid
54;Acer;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4;1TB HDD;Intel HD Graphics 620;Windows;2.40; $20459.52. ;1366;768;2.4;Intel;Intel;0;1024;0;1;0;Core i3 7100U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
55;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 520;Windows;2.13; $40908.38. ;1920;1080;1.8;Intel;AMD;256;0;1;1;0;Core i7 8550U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
56;HP;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;Windows;1.91; $23389.92. ;1920;1080;2.0;Intel;Intel;128;0;1;1;0;Core i3 6006U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
57;Asus;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows;2.00; $31232.2. ;1366;768;2.5;Intel;Intel;256;0;1;1;0;Core i5 7200U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
58;MSI;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows;2.43; $130482.72. ;1920;1080;2.8;Intel;Nvidia;256;2048;1;1;0;Core i7 7700HQ;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
59;Asus;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;Intel HD Graphics 520;Linux;2.00; $22111.2. ;1920;1080;2.0;Intel;Intel;256;0;1;1;0;Core i3 6006U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
60;Dell;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;256GB SSD +  2TB HDD;AMD Radeon 530;Windows;2.80; $69210.72. ;1920;1080;1.8;Intel;AMD;256;2048;1;1;0;Core i7 8550U;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
61;Dell;Ultrabook;14.0;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows;1.70; $46833.12. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;0;0;1920 x 1080;157;1920 x 1080;Full HD (1080p);16:09;Mid
62;Lenovo;Notebook;14.0;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;No OS;1.70; $31914.72. ;1920;1080;2.7;Intel;Intel;256;0;1;1;0;Core i3 7130U;1;0;1920 x 1080;157;1920 x 1080;Full HD (1080p);16:09;Mid
63;Asus;Notebook;14.0;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows;1.40; $50136.48. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;0;0;1920 x 1080;157;1920 x 1080;Full HD (1080p);16:09;Mid
64;HP;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows;1.86; $36763.2. ;1920;1080;2.5;Intel;Intel;256;0;1;1;0;Core i5 7200U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
65;Asus;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows;1.80; $105654.24. ;1920;1080;2.8;Intel;Nvidia;512;0;1;1;0;Core i7 7700HQ;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
66;HP;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;AMD Radeon 520;Windows;1.86; $23373.4. ;1366;768;2.0;Intel;AMD;0;512;0;1;0;Core i3 6006U;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
68;Lenovo;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Intel HD Graphics 620;Windows;1.90; $29250.72. ;1920;1080;2.5;Intel;Intel;0;1024;0;1;0;Core i5 7200U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
69;Asus;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;1TB HDD;Nvidia GeForce GTX 1050 Ti;Linux;3.00; $50562.72. ;1920;1080;2.8;Intel;Nvidia;0;1024;0;1;0;Core i7 7700HQ;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
70;Microsoft;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;4;128GB SSD;Intel HD Graphics 620;Windows;1252.00; $58021.92. ;2256;1504;2.5;Intel;Intel;128;0;1;1;0;Core i5 7200U;0;1;2256 x 1504;201;2256 x 1504;Custom (close to 3:2 aspect ratio);03:02;Very High
71;Dell;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;64;256GB SSD;AMD Radeon 530;Windows;1.40; $50882.4. ;1920;1080;1.8;Intel;AMD;256;0;1;1;0;Core i7 8550U;1;0;1920 x 1080;166;1920 x 1080;Full HD (1080p);16:09;Mid
72;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 530;Windows;2.20; $46353.6. ;1920;1080;1.8;Intel;AMD;256;0;1;1;0;Core i7 8550U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
73;MSI;Gaming;17.3;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows;2.70; $58341.6. ;1920;1080;2.5;Intel;Nvidia;128;1024;1;1;0;Core i5 7300HQ;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
74;Acer;Notebook;14.0;1366x768;Intel Core i3 6006U 2GHz;8;1TB HDD;Intel HD Graphics 520;Windows;2.10; $20725.92. ;1366;768;2.0;Intel;Intel;0;1024;0;1;0;Core i3 6006U;0;0;1366 x 768;112;1366 x 768;HD Ready;16:09;Lower
75;Asus;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows;2.20; $50562.72. ;1920;1080;2.8;Intel;Nvidia;0;1024;0;1;0;Core i7 7700HQ;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
76;Lenovo;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;2TB HDD;Intel HD Graphics 620;No OS;2.20; $27652.32. ;1920;1080;2.5;Intel;Intel;0;2048;0;1;0;Core i5 7200U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
77;Dell;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  1TB HDD;Intel UHD Graphics 620;Windows;2.02; $45554.4. ;1920;1080;1.8;Intel;Intel;128;1024;1;1;0;Core i7 8550U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
78;Acer;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;1TB HDD;Nvidia GeForce MX130;Windows;2.20; $28238.4. ;1920;1080;2.7;Intel;Nvidia;0;1024;0;1;0;Core i3 7130U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
79;HP;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows;2.50; $52054.56. ;1920;1080;1.6;Intel;Nvidia;128;1024;1;1;0;Core i5 8250U;0;0;1920 x 1080;127;1920 x 1080;Full HD (1080p);16:09;Mid
80;Dell;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows;1.88; $58403.4. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
81;Apple;Ultrabook;12.0;IPS Panel Retina Display 2304x1440;Intel Core i5 1.3GHz;8;512GB SSD;Intel HD Graphics 615;Mac Os;0.92; $80452.8. ;2304;1440;1.3;Intel;Intel;512;0;1;1;0;Core i5;1;0;2304 x 1440;226;2304 x 1440;WQHD (Wide Quad HD);16:09;High
82;HP;Notebook;14.0;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows;1.63; $45820.8. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;0;0;1920 x 1080;157;1920 x 1080;Full HD (1080p);16:09;Mid
83;Lenovo;Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;128GB SSD;AMD R4 Graphics;Windows;2.20; $21258.72. ;1920;1080;2.5;AMD;AMD;128;0;1;1;0;A6-Series 9220;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
84;Acer;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4;1TB HDD;AMD Radeon R5;Windows;2.10; $21045.6. ;1366;768;3.0;AMD;AMD;0;1024;0;1;0;A9-Series 9420;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
85;Dell;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows;2.65; $71874.72. ;1920;1080;2.8;Intel;Nvidia;128;1024;1;1;0;Core i7 7700HQ;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
86;HP;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Nvidia GeForce GTX 940MX;Windows;1.83; $37242.72. ;1920;1080;1.8;Intel;Nvidia;256;0;1;1;0;Core i7 8550U;1;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
87;HP;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows;1.96; $31914.19. ;1920;1080;2.5;Intel;Intel;256;0;1;1;0;Core i5 7200U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
